заголовок,movieId,title,id,genres,cast,vote_average,director,keywords,title_key,title_ru,directors_x1,directors_x2,directors_cluster,genre_x1,genre_x2,genre_x3,genre_cluster,cast_x1,cast_x2,cast_cluster,keywords_x1,keywords_x2,keywords_cluster
 Эрагон (2006),49649,Eragon (2006),2486,"['Action', 'Adventure', 'Family', 'Fantasy']","['EdSpeleers', 'JeremyIrons', 'RobertCarlyle', 'SiennaGuillory']",4.9,Stefen Fangmeier,"['basedonnovel', 'basedonyoungadultnovel', 'dragon', 'fantasyworld', 'mythicalcreature', 'teenagehero']",eragon,,5.575062,10.831985,0,6.0682173,-15.321304,-12.581523,10,1.9298439,1.0354394,4,-15.927565,5.838298,0
 Рокки Бальбоа (2006),49651,Rocky Balboa (2006),1246,['Drama'],"['BurtYoung', 'GeraldineHughes', 'MiloVentimiglia', 'SylvesterStallone']",6.5,Sylvester Stallone,"['boxer', 'boxingmatch', 'cancer', 'challenger', 'comeback', 'defeat', 'fight', 'grave', 'loveofoneslife', 'over-the-hillfighter', 'philadelphia', 'publicity', 'restaurantowner', 'tombstone', 'training', 'transporter', 'tvstation', 'victory', 'virtualfight', 'worldchampion']",rockybalboa,,3.7362506,5.758283,0,-15.337273,18.879065,14.114953,2,1.9724777,1.5794071,4,8.2503395,7.0121922,1
 Мех: Воображаемый портрет Дайаны Арбус (2006),49666,Fur: An Imaginary Portrait of Diane Arbus (2006),18615,"['Drama', 'Mystery', 'Romance']","['HarrisYulin', 'NicoleKidman', 'RobertDowneyJr.', 'TyBurrell']",5.8,Steven Shainberg,"['biography', 'freak', 'hair', 'hypertrichosis', 'photographer', 'werewolf']",fur:animaginaryportraitofdianearbus,,4.456547,9.53622,0,-8.689743,-8.668755,8.10725,7,1.5560061,2.1823454,4,20.679977,-9.741747,1
 Мы Маршалл (2006),49793,We Are Marshall (2006),11170,['Drama'],"['AnthonyMackie', 'DavidStrathairn', 'MatthewFox', 'MatthewMcConaughey']",6.7,McG,"['1970s', 'americanfootball', 'college', 'sport', 'trainer']",wearemarshall,,1.8906869,6.551457,0,-15.337273,18.879065,14.114953,2,1.70673,2.012215,4,16.707891,-10.651136,1
 Девушки мечты (2006),49824,Dreamgirls (2006),1125,['Drama'],"['BeyoncéKnowles', 'DannyGlover', 'EddieMurphy', 'JamieFoxx']",6.6,Bill Condon,"['adultery', 'alcoholic', 'backgroundsinger', 'blackpeople', 'deceivedwife', 'detroit', 'drugaddiction', 'extramaritalaffair', 'manager', 'motown', 'musical', 'musicband', 'musicrecord', 'oscaraward', 'recordingcontract', 'recordproducer', 'showbusiness', 'singer', 'singing', 'single', 'soul', 'thesupremes']",dreamgirls,,7.9133053,1.300159,1,-15.337273,18.879065,14.114953,2,1.2769563,2.1834738,4,-0.29311338,7.7678394,1
 Писатели свободы (2007),49910,Freedom Writers (2007),1646,"['Crime', 'Drama']","['HilarySwank', 'ImeldaStaunton', 'PatrickDempsey', 'ScottGlenn']",7.5,Richard LaGravenese,"['annefrank', 'basedonnovel', 'basedontrueevents', 'biography', 'blackpeople', 'daughter', 'diary', 'gangviolence', 'ghetto', 'highschool', 'holocaust', 'idealism', 'principalwitness', 'racialsegregation', 'racialtension', 'schoolexcursion', 'violenceinschools']",freedomwriters,,4.653908,10.274137,0,-13.161213,8.548437,4.8700733,6,1.8692205,1.5240666,4,-8.32848,8.699945,0
 Заметки о скандале (2006),49961,Notes on a Scandal (2006),1259,"['Drama', 'Romance']","['BillNighy', 'CateBlanchett', 'JudiDench', 'JunoTemple']",6.9,Richard Eyre,"['adultery', 'art', 'basedonnovel', 'blackmail', 'cat', 'conservative', 'extramaritalaffair', 'femalestalker', 'friendship', 'infidelity', 'journal', 'loneliness', 'love', 'nudity', 'obsession', 'relationship', 'secret', 'seduction', 'sex', 'sittingonatoilet', 'stalker', 'student', 'studio', 'teacher', 'teenager']",notesonascandal,,0.39284295,4.8611245,0,-9.358015,-13.215299,13.59973,13,2.1721454,2.2033403,4,14.138332,8.005421,1
 ДОА: Живой или мертвый (2006),50003,DOA: Dead or Alive (2006),9053,"['Action', 'Adventure', 'Thriller']","['DevonAoki', 'HollyValance', 'JaimePressly', 'SarahCarter']",5.0,Corey Yuen Kwai,"['assassin', 'basedonvideogame', 'bikini', 'competition', 'explosion', 'fight', 'island', 'karate', 'kungfu', 'martialarts', 'nerd', 'ninja', 'swimsuit', 'tournament', 'violence', 'wrestling']",doa:deadoralive,,6.9078593,7.689091,0,17.111319,2.298493,-2.1201468,17,1.5974996,1.7008668,4,10.3074875,6.956469,1
 Письма с Иводзимы (2006),50068,Letters from Iwo Jima (2006),1251,"['Action', 'Adventure', 'Drama', 'War']","['KazunariNinomiya', 'KenWatanabe', 'RyoKase', 'TsuyoshiIhara']",7.2,Clint Eastwood,"['cave', 'dyinganddeath', 'imperialjapan', 'japanesearmy', 'pacifictheater', 'worldwarii']",lettersfromiwojima,,15.588692,-11.609943,1,0.9646438,-7.6042013,-2.266387,0,2.1087532,1.1078846,4,-16.160084,-3.6822848,0
 Топайте двор (2007),50158,Stomp the Yard (2007),1931,"['Drama', 'Music']","['ColumbusShort', 'DarrinHenson', 'MeaganGood', 'Ne-Yo']",6.1,Sylvain White,"['breakdance', 'daughter', 'lossofbrother', 'loveatfirstsight']",stomptheyard,,6.584059,8.400473,0,-10.193313,3.8683143,10.082198,6,1.7398576,2.098953,4,-9.302468,6.2757683,0
 Мисс Поттер (2006),50160,Miss Potter (2006),13967,"['Drama', 'Family', 'Romance']","['BarbaraFlynn', 'EmilyWatson', 'EwanMcGregor', 'RenéeZellweger']",6.3,Chris Noonan,"['author', 'lossoflover', 'mountainlake', 'rabbit']",misspotter,,4.369939,6.226382,0,-9.742132,-12.035419,7.783439,7,2.0004678,1.5457244,4,4.764718,-11.866081,1
 Мост в Терабитию (2007),50601,Bridge to Terabithia (2007),1265,"['Adventure', 'Drama', 'Family']","['AnnaSophiaRobb', 'JoshHutcherson', 'RobertPatrick', 'ZooeyDeschanel']",7.0,Gábor Csupó,"['basedonchildrensbook', 'brothersisterrelationship', 'bullying', 'clubhouse', 'creek', 'drawing', 'fantasyworld', 'friendship', 'imagination', 'neighbor', 'outsider', 'overflowingwithimagination', 'realityvsfantasy', 'school', 'schoolbus']",bridgetoterabithia,,5.9557385,10.6726465,0,-8.254399,-0.8030357,-6.832352,5,2.0767996,1.1848361,4,7.7504964,13.0154505,1
 Пивная лига (2006),50610,Beer League (2006),14137,['Comedy'],"['AnthonyDeSando', 'ArtieLange', 'JimmyPalumbo', 'RalphMacchio']",5.3,Frank Sebastiano,"['baseball', 'sport']",beerleague,,7.6759686,11.011532,0,-12.003901,15.815363,-13.065905,3,2.035852,1.2737557,4,20.125473,-18.202768,1
 Официантка (2007),50685,Waitress (2007),10758,['Comedy'],"['AndyGriffith', 'CherylHines', 'KeriRussell', 'NathanFillion']",6.7,Adrienne Shelly,"['unwillinglypregnant', 'waitress', 'womandirector']",waitress,,6.832155,9.109345,0,-12.003901,15.815363,-13.065905,3,1.7119441,1.6048081,4,-2.6759663,2.650106,1
 Курящие тузы (2006),50794,Smokin' Aces (2006),7516,"['Action', 'Comedy', 'Crime', 'Thriller']","['AlexRocco', 'JosephRuskin', 'RayLiotta', 'RyanReynolds']",6.4,Joe Carnahan,"['bodyguard', 'darkcomedy', 'drug', 'fbi', 'femalecorpse', 'gangster', 'gun', 'hitman', 'neo-nazi', 'police', 'shootout', 'sniper', 'toshootdead']",smokin'aces,,2.343574,6.422114,0,11.849634,2.0211396,-6.224662,1,1.4184752,2.0096622,4,10.564864,10.9270115,1
 Кровь и шоколад (2007),50796,Blood and Chocolate (2007),10075,"['Drama', 'Fantasy', 'Horror', 'Romance']","['AgnesBruckner', 'HughDancy', 'KatjaRiemann', 'OlivierMartinez']",5.4,Katja von Garnier,"['animalhorror', 'basedonyoungadultnovel', 'chocolate', 'interspeciesromance', 'werewolf', 'womandirector']",bloodandchocolate,,5.5638523,10.915027,0,-2.3413858,-12.153323,9.926409,13,1.8802518,1.7137525,4,-4.6864085,2.4769073,0
 Эпический фильм (2007),50798,Epic Movie (2007),9760,"['Action', 'Adventure', 'Comedy']","['AdamCampbell', 'JaymaMays', 'JenniferCoolidge', 'KalPenn']",3.2,Jason Friedberg,[''],epicmovie,,2.9862125,7.4954395,0,-7.443362,5.592225,-15.147535,3,1.7508234,1.3515832,4,-7.799057,-11.326392,0
 Потому что я так сказал (2007),50802,Because I Said So (2007),1257,['Comedy'],"['DianeKeaton', 'GabrielMacht', 'MandyMoore', 'TomEverettScott']",5.8,Michael Lehmann,"['architect', 'clothing', 'fashion', 'guitar', 'lonelyheartsad', 'losangeles', 'men', 'mother', 'motherdaughterrelationship', 'motherrole', 'newlove', 'profession', 'single', 'singlefather', 'sistersisterrelationship']",becauseisaidso,,1.9555955,11.8579855,0,-12.003901,15.815363,-13.065905,3,1.9632612,1.5961577,4,9.811273,9.814655,1
 Ганнибал: Восхождение (2007),50804,Hannibal Rising (2007),1248,"['Crime', 'Drama', 'Thriller']","['AaranThomas', 'DominicWest', 'GaspardUlliel', 'GongLi']",6.0,Peter Webber,"['horror', 'psychopath', 'serialkiller', 'winter']",hannibalrising,,8.072944,4.0607977,1,11.454601,6.207516,4.13468,19,1.6247135,1.3784163,4,5.54647,-3.531472,1
 Рататуй (2007),50872,Ratatouille (2007),2062,"['Animation', 'Comedy', 'Family', 'Fantasy']","['BrianDennehy', 'IanHolm', 'LouRomano', 'PattonOswalt']",7.5,Jan Pinkava,"['brotherbrotherrelationship', 'chef', 'confidence', 'cook', 'cookbook', 'court', 'expensiverestaurant', 'family', 'kitchen', 'leavingonesfamily', 'mouse', 'paris', 'rat', 'restaurantcritic', 'river', 'roof', 'spice', 'window', 'work']",ratatouille,,3.523537,8.4361925,0,-0.1217511,-5.4694324,-12.903688,18,1.3977225,1.6789957,4,7.575671,13.288913,1
 Призрачный гонщик (2007),51077,Ghost Rider (2007),1250,"['Action', 'Fantasy', 'Horror', 'Thriller']","['DonalLogue', 'EvaMendes', 'NicolasCage', 'WesBentley']",5.2,Mark Steven Johnson,"['basedoncomicbook', 'devilsson', 'dyinganddeath', 'flame', 'ghostworld', 'mephisto', 'religionandsupernatural', 'stunts']",ghostrider,,8.599017,5.3509154,1,19.631868,-0.34900472,-1.6270744,17,1.8321817,1.8361175,4,-19.261486,1.0089566,0
Музыка и слова (2007),51084,Music and Lyrics (2007),11172,"['Comedy', 'Music', 'Romance']","['BradGarrett', 'DrewBarrymore', 'HughGrant', 'ScottPorter']",6.2,Marc Lawrence,"['piano', 'popstar', 'romanticcomedy', 'song', 'songwriting']",musicandlyrics,,1.6621265,10.185433,0,-9.78006,-23.56698,0.7464929,14,1.3827438,2.0471354,4,12.662427,-13.598587,1
 Рено 911!: Майами (2007),51088,Reno 911!: Miami (2007),10090,"['Action', 'Adventure', 'Comedy', 'Crime']","['BenGarant', 'CarlosAlazraqui', 'DannyDeVito', 'LennieLoftin']",5.6,Ben Garant,"['attack', 'beach', 'drug', 'explosion', 'mockumentary', 'nudity', 'parody', 'police', 'sex', 'shootout', 'terrorist']",reno911!:miami,,5.7252707,10.183378,0,-2.508393,-6.4509926,-10.38072,5,1.5024693,2.0936291,4,19.720186,-4.3183875,1
 Стон черной змеи (2006),51091,Black Snake Moan (2006),7874,['Drama'],"['ChristinaRicci', 'JustinTimberlake', 'S.EpathaMerkerson', 'SamuelL.Jackson']",6.6,Craig Brewer,"['blues', 'independentfilm', 'militaryservice', 'southernusa']",blacksnakemoan,,7.5213118,5.1368647,1,-15.337273,18.879065,14.114953,2,1.760732,1.1383544,4,-11.334561,-6.873517,0
 Фабричная девушка (2006),51174,Factory Girl (2006),12271,['Drama'],"['GuyPearce', 'HaydenChristensen', 'MenaSuvari', 'SiennaMiller']",6.2,George Hickenlooper,"['addiction', 'alcohol', 'art', 'artist', 'biography', 'drug', 'film', 'gallery', 'gayman', 'independentfilm', 'infidelity', 'interview', 'love', 'newyork', 'nudity', 'party', 'scene', 'sex', 'singer', 'socialite', 'studio', 'warhol']",factorygirl,,2.3841212,4.92714,0,-15.337273,18.879065,14.114953,2,1.31267,2.3204598,4,9.221283,11.109998,1
 Горячий пух (2007),51255,Hot Fuzz (2007),4638,"['Action', 'Comedy', 'Crime']","['JimBroadbent', 'NickFrost', 'PaddyConsidine', 'SimonPegg']",7.4,Edgar Wright,"['accident', 'arrest', 'conspiracy', 'cowboycostume', 'gunfight', 'murder', 'partner', 'police', 'policeforce', 'village']",hotfuzz,,5.85546,3.918323,1,-3.2639823,-5.737108,-10.846434,5,1.7119588,1.3736957,4,14.752869,2.9774218,1
 Зодиак (2007),51540,Zodiac (2007),1949,"['Crime', 'Drama', 'Mystery', 'Thriller']","['AnthonyEdwards', 'JakeGyllenhaal', 'MarkRuffalo', 'RobertDowneyJr.']",7.3,David Fincher,"['california', 'code', 'embassy', 'journalist', 'killing', 'massmurder', 'murder', 'newspaper', 'plannedmurder', 'police', 'reporter', 'sanfrancisco', 'serialkiller', 'threattodeath', 'victim', 'victimofmurder']",zodiac,,2.944583,31.305,0,12.380451,3.8919184,3.1039395,15,1.182093,0.74092,8,8.6435795,15.780299,1
 Дикие свиньи (2007),51575,Wild Hogs (2007),11199,"['Action', 'Adventure', 'Comedy']","['JohnTravolta', 'MartinLawrence', 'TimAllen', 'WilliamH.Macy']",5.6,Walt Becker,"['awkwardness', 'bikerfilm', 'middleage', 'middleagedman', 'midlifecrisis', 'motorcyclegang', 'politicallyincorrect', 'roadtrip', 'travelwriter']",wildhogs,,3.9086683,0.63262165,1,-7.443362,5.592225,-15.147535,3,1.4914669,1.1230565,4,-23.792515,2.1947756,0
 300 (2007),51662,300 (2007),1271,"['Action', 'Adventure', 'War']","['DavidWenham', 'DominicWest', 'GerardButler', 'LenaHeadey']",7.0,Zack Snyder,"['ancientworld', 'army', 'evisceration', 'fallfromheight', 'javelin', 'minions', 's.a.t.', 'shield']",300,,8.474649,1.7505918,1,6.288209,-13.875142,-7.1895056,10,1.5833172,0.971174,4,3.5676215,0.20388862,1
 Стать Джейн (2007),51834,Becoming Jane (2007),2977,"['Drama', 'Romance']","['AnneHathaway', 'JamesCromwell', 'JamesMcAvoy', 'JulieWalters']",6.9,Julian Jarrold,"['author', 'countrylife', 'creativity', 'empowerment', 'england', 'family', 'future', 'irland', 'judge', 'law', 'letter', 'lovers', 'newlove', 'sister']",becomingjane,,5.6576676,8.170511,0,-9.358015,-13.215299,13.59973,13,1.2155966,0.7048857,8,15.554107,4.712468,1
" Я думаю, что люблю свою жену (2007)",51903,I Think I Love My Wife (2007),14434,"['Comedy', 'Romance']","['ChrisRock', 'GinaTorres', 'KerryWashington', 'SteveBuscemi']",5.0,Chris Rock,[''],ithinkilovemywife,,9.086632,1.3312755,1,-9.254191,-20.254225,2.5438378,14,1.3901999,1.7993317,4,-7.799057,-11.326392,0
 Предчувствие (2007),51925,Premonition (2007),9963,"['Drama', 'Mystery', 'Thriller']","['CourtneyTaylorBurness', 'JulianMcMahon', 'NiaLong', 'SandraBullock']",5.8,Mennan Yapo,"['carcrash', 'dejavu', 'dyinganddeath', 'lossofhusband', 'timetravel']",premonition,,5.5352182,10.124037,0,14.424889,5.6083474,5.3987947,19,1.4793453,1.2852267,4,-26.001162,0.740058,0
 Царствуй надо мной (2007),51931,Reign Over Me (2007),2355,['Drama'],"['AdamSandler', 'DonCheadle', 'JadaPinkettSmith', 'LivTyler']",7.1,Mike Binder,"['airplane', 'alone', 'childhoodmemory', 'confidence', 'cowardliness', 'family', 'leavingonesfamily', 'lossofdaughter', 'music', 'trauma', 'waronterror']",reignoverme,,5.9727197,5.46524,1,-15.337273,18.879065,14.114953,2,1.5286707,1.6031967,4,5.9364367,11.380833,1
 Стрелок (2007),51935,Shooter (2007),7485,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']","['DannyGlover', 'KateMara', 'MarkWahlberg', 'MichaelPeña']",6.9,Antoine Fuqua,"['childlessness', 'conspiracyofmurder', 'corruption', 'fbiagent', 'rifle', 'senator', 'sniper', 'sniperrifle']",shooter,,6.2172303,11.443222,0,12.454187,1.4352337,0.006231427,15,1.4201465,0.9130276,8,6.24815,-0.5824237,1
 Клинки славы (2007),52245,Blades of Glory (2007),9955,"['Action', 'Comedy', 'Drama']","['AmyPoehler', 'JonHeder', 'WillArnett', 'WillFerrell']",5.9,Josh Gordon,"['competition', 'iceskating', 'olympicgames', 'rivalry', 'sport']",bladesofglory,,11.194231,11.029578,1,-12.714239,4.3939214,-2.5844939,11,1.5214844,1.4435415,4,15.941408,-11.179874,1
 Грайндхаус (2007),52281,Grindhouse (2007),285923,"['Action', 'Horror', 'Thriller']","['KurtRussell', 'RosarioDawson', 'VanessaFerlito', 'ZoëBell']",6.8,Robert Rodriguez,"['exploitation', 'killer', 'slasher', 'zombie']",grindhouse,,13.892179,4.1640396,1,18.89112,1.247024,-0.6523867,17,0.94822127,1.4045826,8,19.029669,-2.3674474,1
 Беспокойство (2007),52458,Disturbia (2007),8271,"['Drama', 'Mystery', 'Thriller']","['Carrie-AnneMoss', 'DavidMorse', 'SarahRoemer', 'ShiaLaBeouf']",6.6,D.J. Caruso,"['kidnapping', 'youngpeople']",disturbia,,20.50064,15.7261505,1,14.424889,5.6083474,5.3987947,19,1.1003163,1.5473983,8,14.571829,-5.188323,1
 Фильм Aqua Teen Hunger Force Colon для кинотеатров (2007),52462,Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),13158,"['Animation', 'Comedy']","['AndyMerrill', 'CareyMeans', 'DanaSnyder', 'DaveWillis']",6.5,Dave Willis,"['adultanimation', 'africa', 'blood', 'bloodsplatter', 'robot', 'surrealism']",aquateenhungerforcecolonmoviefilmfortheaters,,8.245933,5.7032313,1,-11.327839,13.086707,-10.932664,3,1.3682239,1.4350116,4,1.2632031,6.1772394,1
 В стране женщин (2007),52668,In the Land of Women (2007),13067,"['Comedy', 'Drama', 'Romance']","['AdamBrody', 'JoBethWilliams', 'KristenStewart', 'MegRyan']",5.8,Jon Kasdan,"['actress', 'cancer', 'flashback', 'illness', 'infidelity', 'love', 'neighbor', 'party', 'teenager', 'writer']",inthelandofwomen,,5.111582,10.069806,0,-11.609255,-11.696262,6.3907685,7,1.1502389,1.4216529,8,18.434399,-1.8143787,1
 Праздник мистера Бина (2007),52694,Mr. Bean's Holiday (2007),1268,"['Comedy', 'Family']","['EmmadeCaunes', 'MaxBaldry', 'RowanAtkinson', 'WillemDafoe']",6.1,Steve Bendelack,"['aftercreditsstinger', 'chaos', 'clumsyfellow', 'filmdirector', 'france', 'holiday', 'todropbrick']",mr.bean'sholiday,,4.535722,7.8369684,0,-6.606357,-4.2261305,-21.456577,9,0.9421592,1.4704465,8,-7.3279514,4.938471,0
 Человек-паук 3 (2007),52722,Spider-Man 3 (2007),559,"['Action', 'Adventure', 'Fantasy']","['JamesFranco', 'KirstenDunst', 'ThomasHadenChurch', 'TobeyMaguire']",5.9,Sam Raimi,"['amnesia', 'deathofafriend', 'dualidentity', 'egomania', 'forgiveness', 'hostility', 'loveofoneslife', 'marvelcomic', 'narcism', 'revenge', 'sand', 'sandstorm', 'sequel', 'spider', 'superhero', 'wretch']",spider-man3,,6.7682524,10.247162,0,6.19672,-14.489643,-9.188918,10,1.4473069,1.0969222,4,3.343986,9.929066,1
 Тебе повезло (2007),52724,Lucky You (2007),1950,"['Drama', 'Romance']","['DebraMessing', 'DrewBarrymore', 'EricBana', 'RobertDuvall']",5.4,Curtis Hanson,"['lasvegas', 'poker', 'sport']",luckyyou,,9.595787,-2.8108406,1,-9.358015,-13.215299,13.59973,13,1.156251,1.9193827,4,19.049458,-13.1002245,1
 Это Англия (2006),52952,This Is England (2006),11798,"['Crime', 'Drama']","['AndrewShim', 'JoHartley', 'StephenGraham', 'ThomasTurgoose']",7.4,Shane Meadows,"['culture', 'drug', 'england', 'gang', 'holiday', 'independentfilm', 'racism', 'skinhead', 'summer', 'unemployment', 'vandalism', 'violence', 'xenophobia', 'youth']",thisisengland,,9.386724,1.9979763,1,-13.161213,8.548437,4.8700733,6,1.132112,2.1132016,4,15.206917,9.641869,1
 Немножко (2007),52973,Knocked Up (2007),4964,"['Comedy', 'Drama', 'Romance']","['KatherineHeigl', 'LeslieMann', 'PaulRudd', 'SethRogen']",6.2,Judd Apatow,"['alcohol', 'beard', 'bed', 'condom', 'druguse', 'duringcreditsstinger', 'one-nightstand', 'paternity', 'pregnancyandbirth', 'unprotectedsex']",knockedup,,8.224046,8.9933195,1,-11.609255,-11.696262,6.3907685,7,1.0095986,1.5034326,8,3.7944918,3.6831727,1
 28 недель спустя (2007),53000,28 Weeks Later (2007),1562,"['Horror', 'ScienceFiction', 'Thriller']","['ImogenPoots', 'JeremyRenner', 'RobertCarlyle', 'RoseByrne']",6.5,Juan Carlos Fresnadillo,"['chaos', 'chaosandmayham', 'chasesandraces', 'danger', 'deadly', 'dyinganddeath', 'escapade', 'femalecorpse', 'humannature', 'londonengland', 'lossoffamily', 'lossofmother', 'mutant', 'ontherun', 'partsofdeadbody', 'pest', 'plague', 'siblingsrelations', 'supernatural', 'survival', 'survivor', 'virus', 'zombie']",28weekslater,,8.320702,10.4111,0,20.124264,4.781625,6.96659,8,1.1237214,1.9747121,4,11.661075,9.927716,1
 Шрек Третий (2007),53121,Shrek the Third (2007),810,"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['CameronDiaz', 'EddieMurphy', 'JulieAndrews', 'MikeMyers']",6.0,Chris Miller,"['ambush', 'assault', 'bestfriend', 'boardingschool', 'capture', 'conciliation', 'coupdetat', 'cowardliness', 'donkey', 'dragon', 'duringcreditsstinger', 'heirtothethrone', 'island', 'kingdom', 'liberationofprisoners', 'pregnancy', 'prince', 'sadness', 'ship', 'shipwreck', 'stage', 'teacher', 'theatreplay', 'traitor', 'transformation', 'tricks']",shrekthethird,,8.78936,5.7727637,1,0.051302835,-7.775192,-15.316175,18,1.1204319,1.8282808,4,16.733078,11.034636,1
 Однажды (2006),53123,Once (2006),5723,"['Drama', 'Music', 'Romance']","['GerardHendrick', 'GlenHansard', 'HughWalsh', 'MarkétaIrglová']",7.3,John Carney,"['dublin', 'fascination', 'irland', 'loveofoneslife', 'lovers', 'lovesickness', 'music', 'musicband', 'musicinstrument', 'musiclover', 'musicstyle', 'pianist', 'pop', 'rockandroll', 'song', 'tenderness', 'tomakemusic']",once,,0.8468228,5.8863206,0,-9.510145,-13.292866,11.860374,13,0.85686904,1.2783589,8,-1.6229701,5.6700816,1
 Пираты Карибского моря: На краю света (2007),53125,Pirates of the Caribbean: At World's End (2007),285,"['Action', 'Adventure', 'Fantasy']","['JohnnyDepp', 'KeiraKnightley', 'OrlandoBloom', 'StellanSkarsgård']",6.9,Gore Verbinski,"['aftercreditsstinger', 'afterlife', 'alliance', 'calypso', 'drugabuse', 'eastindiatradingcompany', 'exoticisland', 'fighter', 'loveofoneslife', 'ocean', 'pirate', 'ship', 'shipwreck', 'strongwoman', 'swashbuckler', 'traitor']",piratesofthecaribbean:atworld'send,,4.3369637,10.53983,0,6.19672,-14.489643,-9.188918,10,1.2180246,1.6758575,4,7.3764873,4.2874293,1
 Тринадцать друзей Оушена (2007),53322,Ocean's Thirteen (2007),298,"['Crime', 'Thriller']","['AlPacino', 'BradPitt', 'GeorgeClooney', 'MattDamon']",6.5,Steven Soderbergh,"['casino', 'heist', 'laborstrike', 'lasvegas', 'pretendingtoberich', 'revenge', 'thief']",ocean'sthirteen,,1.0833216,12.346459,0,13.694454,1.6368754,7.2204595,4,1.0705038,1.3890405,8,6.316437,-0.60132354,1
 Хостел: Часть II (2007),53435,Hostel: Part II (2007),1691,['Horror'],"['BijouPhillips', 'HeatherMatarazzo', 'LaurenGerman', 'RichardBurgi']",5.6,Eli Roth,"['bratislava', 'castration', 'ladiesman', 'penis', 'prague', 'student', 'torture', 'tortureporn']",hostel:partii,,9.878139,2.3620434,1,0.8092462,-3.7382936,4.0298777,12,1.2692122,1.5192635,4,1.8208759,5.691382,1
 Прибой (2007),53460,Surf's Up (2007),9408,"['Animation', 'Comedy', 'Family']","['JeffBridges', 'JonHeder', 'ShiaLaBeouf', 'ZooeyDeschanel']",5.9,Ash Brannon,"['giantwave', 'idol', 'mockumentary', 'sea', 'surfboard', 'surfer', 'wave', 'worldchampion', 'worldcup']",surf'sup,,6.545934,6.897619,1,-4.6198378,-2.003358,-16.860966,9,0.8799988,1.6347473,8,-3.0744882,12.967315,1
 Нэнси Дрю (2007),53466,Nancy Drew (2007),14043,"['Action', 'Adventure', 'Crime', 'Family', 'Mystery', 'Thriller']","['EmmaRoberts', 'JoshFlitter', 'MaxThieriot', 'RachaelLeighCook']",5.8,Andrew Fleming,"['basedonnovel', 'california', 'chase', 'detective', 'dream', 'escape', 'explosion', 'flashback', 'hollywood', 'kidnapping', 'murder', 'party', 'rescue', 'surveillance', 'teenager']",nancydrew,,1.186704,4.214429,0,14.262012,-2.2237124,-4.350752,17,0.99673474,1.0459614,8,20.7086,7.255618,1
 Фидо (2006),53468,Fido (2006),10288,"['Comedy', 'Drama', 'Horror', 'Romance']","['BillyConnolly', 'Carrie-AnneMoss', 'DylanBaker', 'KesunLoder']",6.6,Andrew Currie,"['blackhumor', 'canuxploitation', 'darkcomedy', 'decapitation', 'gore', 'satire', 'spoof', 'vororte', 'zombie']",fido,,7.1971593,5.583541,1,-7.7359266,-11.677132,6.712537,7,0.7575851,1.6038907,8,-3.5617158,-10.737566,0
 Спасательный рассвет (2006),53550,Rescue Dawn (2006),9952,"['Adventure', 'Drama', 'War']","['ChristianBale', 'MarshallBell', 'SteveZahn', 'TobyHuss']",6.9,Werner Herzog,"['antsnest', 'draggingsomeone', 'laotiansoldier', 'letterfromhome', 'netfishing', 'pipesmoking', 'ricepaddy', 'violence', 'warcrimes']",rescuedawn,,5.2696915,11.169305,0,0.00759089,-8.279551,1.3643763,0,1.0898453,1.7732922,4,-17.415329,0.88968015,0
 Больной (2007),53894,Sicko (2007),2359,['Documentary'],"['BillClinton', 'GeorgeW.Bush', 'HillaryClinton', 'MichaelMoore']",7.3,Michael Moore,"['assurance', 'bureaucracy', 'corruption', 'cuba', 'doctor', 'existence', 'guantanamobay', 'healthcare', 'hospital', 'illness', 'medicine', 'money', 'usa']",sicko,,0.59795654,7.8280725,0,-3.134467,3.776885,-1.5626373,11,0.70558006,1.0263504,8,13.262561,9.858903,1
 1408 (2007),53953,1408 (2007),3021,"['Horror', 'Thriller']","['JasmineJessicaAnthony', 'JohnCusack', 'MaryMcCormack', 'SamuelL.Jackson']",6.5,Mikael Håfström,"['blood', 'door', 'fire', 'ghostworld', 'hauntedhouse', 'hotel', 'hotelroom', 'lossofdaughter', 'newyork', 'painting', 'research', 'suicide', 'suicideattempt', 'telephone', 'wifehusbandrelationship', 'window']",1408,,5.8411756,12.590912,0,18.141804,2.007536,5.559298,8,0.62602866,0.94759196,8,14.946924,4.8452363,1
 Живи свободным или крепкий орешек (2007),53972,Live Free or Die Hard (2007),1571,"['Action', 'Thriller']","['BruceWillis', 'CliffCurtis', 'JustinLong', 'TimothyOlyphant']",6.4,Len Wiseman,"['actionhero', 'basedonarticle', 'carchase', 'cellphone', 'cyberterrorism', 'ex-cop', 'explosion', 'fbi', 'fistfight', 'hacker', 'helicopter', 'hostage', 'kidnapping', 'policecar', 'powerplant', 'satellite', 'sequel', 'shootout', 'suspense', 'trafficjam', 'transportofprisoners', 'usa', 'violence', 'walkietalkie', 'washingtond.c.']",livefreeordiehard,,3.5928802,6.7092104,0,16.263378,4.267985,5.1335187,8,0.9848394,0.9246124,8,-0.84876114,15.667386,1
